,seconds,x,y,z,speed,acceleration,degrees
12564,1398847950.403,79.0759,131.102,-1.33284,0.19783675980912152,-0.3469105934557826,93.06900470542334
12565,1398847950.5035665,79.0587,131.092,-1.33242,0.16294921475201316,4.317420026260319,99.44844329392697
12566,1398847950.604099,79.0431,131.08700000000002,-1.3492599999999997,0.5969903805695197,-2.981542010650783,104.93946373143899
12567,1398847950.7046647,79.0002,131.045,-1.3841700000000001,0.29714960490840114,-0.00018915938108317705,112.4115333967628
12568,1398847950.8052216,78.97800000000001,131.025,-1.4016199999999999,0.2971305836368095,0.04471950076528445,125.36762131755205
12569,1398847950.9057848,78.9558,131.005,-1.4190800000000001,0.3016277236596337,-0.19358503425636614,146.51478117829294
12570,1398847951.0063355,78.933,130.985,-1.4365299999999999,0.2821626223347703,-0.026008769581668794,176.44780768588453
12571,1398847951.106865,78.9061,130.994,-1.4540700000000002,0.2795479754939881,0.2663640304914727,212.99480704196924
12572,1398847951.2073843,78.883,130.97799999999998,-1.47153,0.3063227330059565,-0.12490722342322452,251.6905286756299
12573,1398847951.307951,78.858,130.96,-1.4889799999999997,0.2937612350338305,0.05123043409893486,287.0927063919785
12574,1398847951.4084482,78.8346,130.942,-1.5238900000000002,0.2989097525613265,0.009407581478674779,314.7357992339668
12575,1398847951.509038,78.8098,130.925,-1.54134,0.299856058851042,-0.0624370094383886,332.39669204420954
12576,1398847951.6095855,78.7849,130.908,-1.5587900000000001,0.2935781703910202,-0.8818729916487812,341.00171882637744
12577,1398847951.7101154,78.7601,130.892,-1.57625,0.20492355867291784,0.8644490040169661,343.47756041072046
12578,1398847951.8121374,78.7404,130.899,-1.59003,0.29311631669854116,-2.9125972262616746,343.2719927160088
12579,1398847951.9127748,78.715,130.884,-1.6074799999999998,0.0,3.254608377757431,342.6525408083078
12580,1398847952.0033147,78.715,130.884,-1.6074799999999998,0.29467202202561854,0.048123299076604245,342.5174765020897
12581,1398847952.1038256,78.6889,130.87,-1.62493,0.2995089350299266,-0.05816039250148396,342.7611883422347
12582,1398847952.2043345,78.6628,130.855,-1.6423900000000002,0.29366329631015614,2.995586014712464,343.2428445012481
